Prix,Année,Auteur,Roman,Maison d'édition
Femina,1952,Dominique Rolin,Le Souffle,Le Seuil
Femina,1953,Zoé Oldenbourg,La Pierre angulaire,Gallimard
Femina,1954,Gabriel Veraldi,La Machine humaine,Gallimard
Femina,1955,André Dhôtel,Le pays où l'on n'arrive jamais,Horay
Femina,1956,François-Régis Bastide,Les Adieux,Gallimard
Femina,1957,Christian Mégret,Le Carrefour des solitudes,Julliard
Femina,1958,Françoise Mallet-Joris,L'Empire céleste,Julliard
Femina,1959,Bernard Privat,Au pied du mur,Gallimard
Femina,1960,Louise Bellocq,La Porte retombée,Gallimard
Femina,1961,Henri Thomas,Le Promontoire,Gallimard
Femina,1962,Yves Berger,Le Sud,Grasset
Femina,1963,Roger Vrigny,La Nuit de Mougins,Gallimard
Femina,1964,Jean Blanzat,Le Faussaire,Minuit
Femina,1965,Robert Pinget,Quelqu'un,Minuit
Femina,1966,Irène Monesi,Nature morte devant la fenêtre,Mercure de France
Femina,1967,Claire Etcherelli,Élise ou la Vraie Vie,Denoël
Femina,1968,Marguerite Yourcenar,L'Oeuvre au noir,Gallimard
Femina,1969,Jorge Semprun,La Deuxième Mort de Ramon Mercader,Gallimard
Femina,1970,François Nourissier,La Crève,Grasset
Femina,1971,Angelo Rinaldi,La Maison des Atlantes,Denoël
Femina,1972,Roger Grenier,Ciné-roman,Gallimard
Femina,1973,Michel Dard,Juan Maldonne,Le Seuil
Femina,1974,René-Victor Pilhes,L'Imprécateur,Le Seuil
Femina,1975,Claude Faraggi,Le Maître d'heure,Mercure de France
Femina,1976,Marie-Louise Haumont,Le Trajet,Gallimard
Femina,1977,Régis Debray,La neige brûle,Grasset
Femina,1978,François Sonkin,Un amour de père,Gallimard
Femina,1979,Pierre Moinot,Le Guetteur d'ombres,Gallimard
Femina,1980,Jocelyne François,Joue-nous Espana,Mercure de France
Femina,1981,Catherine Hermary-Vieille,Le Grand Vizir de la nuit,Gallimard
Femina,1982,Anne Hébert,Les Fous de Bassan,Le Seuil
Femina,1982,Florence Delay,Riche et légère,Perrin
Femina,1984,Bertrand Visage,Tous les soleils,Le Seuil
Femina,1985,Hector Bianciotti,Sans la miséricorde du Christ,Gallimard
Femina,1986,René Belletto,L'Enfer,P.O.L.
Femina,1987,Alain Absire,L'Egal de Dieu,Calmann-Lévy
Femina,1988,Alexandre Jardin,Le Zèbre,Gallimard
Femina,1989,Sylvie Germain,Jour de colère,Gallimard
Femina,1990,Pierrette Fleutiaux,Nous sommes éternels,Gallimard
Femina,1991,Paula Jacques,Deborah et les anges dissipés,Mercure de France
Femina,1992,Anne-Marie Garat,Aden,Gallimard
Femina,1993,Marc Lambron,L'Oeil du silence,Grasset
Femina,1994,Olivier Rolin,Port Soudan,Le Seuil
Femina,1995,Emmanuel Carrère,La Classe de neige,P.O.L.
Femina,1996,Geneviève Brisac,Week-end de chasse à la mère,L'Olivier
Femina,1997,Dominique Noguez,Amour noir,Gallimard
Femina,1998,François Cheng,Le Dit de Tianyi,Albin Michel
Femina,1999,Maryline Desbiolles,Anchise,Le Seuil
Femina,2000,Camille Laurens,Dans ces bras-là,P.O.L.
Femina,2001,Marie Ndiaye,Rosie Carpe,Minuit
Femina,2002,Chantal Thomas,Les Adieux à la reine,Le Seuil
Femina,2003,Dai Sijie,Le complexe de Di,Gallimard
Femina,2004,Jean-Paul Dubois,Une vie française,L'Olivier
Femina,2005,Régis Jauffret,Asiles de fous,Gallimard
Femina,2006,Nancy Huston,Lignes de failles,Actes Sud
Femina,2007,Eric Fottorino,Baisers de cinéma,Gallimard
Femina,2008,Jean-Louis Fournier,Où on va papa ?,Stock
Femina,2009,Gwenaëlle Aubry,Personne,Mercure de France
Femina,2010,Patrick Lapeyre,La Vie est courte et le désir sans fin,P.O.L.
Femina,2011,Simon Liberati,Jayne Mansfield 1967,Grasset
Femina,2012,Patrick Deville,Peste et Choléra,Le Seuil
Femina,2013,Léonora Miano,La Saison de l'ombre,Grasset
Académie,1915,Paul Acker,Ensemble de son œuvre,Ensemble de son œuvre
Académie,1916,Avesnes,L'Île heureuse,Plon
Académie,1917,Charles Géniaux,Ensemble de son œuvre,Ensemble de son œuvre
Académie,1918,Camille Mayran,Histoire de Gotton Connixloo,Plon
Académie,1919,Pierre Benoit,L'Atlantide,Albin Michel
Académie,1920,André Corthis,Pour moi seule,Albin Michel
Académie,1921,Pierre Villetard,Monsieur Bille dans la tourmente,Fasquelle
Académie,1922,Francis Carco,L'Homme traqué,Albin Michel
Académie,1923,Alphonse de Châteaubriant,La Brière,Grasset
Académie,1924,Émile Henriot,Aricie Brun ou les Vertus bourgeoises,Plon
Académie,1925,François Duhourcau,L'Enfant de la victoire,La Vraie France
Académie,1926,François Mauriac,Le Désert de l'amour,Grasset
Académie,1927,Joseph Kessel,Les Captifs,Gallimard
Académie,1928,Jean Balde,Reine d'Arbieux,Plon
Académie,1929,André Demaison,Le Livre des bêtes qu'on appelle sauvages,Grasset
Académie,1930,Jacques de Lacretelle,Amour nuptial,Gallimard
Académie,1931,Henri Pourrat,Gaspard des montagnes,Albin Michel
Académie,1932,Jacques Chardonne,Claire,Grasset
Académie,1933,Roger Chauviré,Mademoiselle de Bois-Dauphin,Flammarion
Académie,1934,Paule Régnier,L'Abbaye d'Évolayne,Plon
Académie,1935,Albert Touchard,La Guêpe,Éditions de France
Académie,1936,Georges Bernanos,Journal d'un curé de campagne,Plon
Académie,1937,Guy de Pourtalès,La Pêche miraculeuse,Gallimard
Académie,1938,Jean de La Varende,Le Centaure de Dieu,Grasset
Académie,1939,Antoine de Saint-Exupéry,Terre des hommes,Gallimard
Académie,1940,Édouard Peisson,Le Voyage d'Edgar,Grasset
Académie,1941,Robert Bourget-Pailleron,La Folie Hubert,Gallimard
Académie,1942,Jean Blanzat,L'Orage du matin,Grasset
Académie,1943,Joseph-Henri Louwyck,Danse pour ton ombre !,Plon
Académie,1944,Pierre Lagarde,Valmaurie,Baudinière
Académie,1945,Marc Blancpain,Le Solitaire,Flammarion
Académie,1946,Jean Orieux,Fontagre,Éditions de la Revue Fontaine
Académie,1947,Philippe Hériat,Famille Boussardel,Gallimard
Académie,1948,Yves Gandon,Ginèvre,Henri Lefebvre
Académie,1949,Yvonne Pagniez,Évasion 44,Flammarion
Académie,1950,Joseph Jolinon,Les Provinciaux,Milieu du Monde
Académie,1951,Bernard Barbey,Chevaux abandonnés sur le champ de bataille,Julliard
Académie,1952,Henri Castillou,Le Feu de l'Etna,Albin Michel
Académie,1953,Jean Hougron,Mort en fraude,Donnat
Académie,1954,(ex-æquo) Pierre Moinot,La Chasse royale,Gallimard
Académie,1954,(ex-æquo) Paul Mousset,Neige sur un amour nippon,Grasset
Académie,1955,Michel de Saint-Pierre,Les Aristocrates,La Table Ronde
Académie,1956,Paul Guth,Le Naïf Locataire,Albin Michel
Académie,1957,Jacques de Bourbon Busset,Le Silence et la Joie,Gallimard
Académie,1958,Henri Queffélec,Un royaume sous la mer,Presses de la Cité
Académie,1959,Gabriel d'Aubarède,La Foi de notre enfance,Flammarion
Académie,1960,Christian Murciaux,Notre-Dame des désemparés,Plon
