code_reg	code_dept	code_zoneempl	code_comm	code_post	0	1	commune	pop11	naissances2011	deces2011
11	77	1104	77257	77440	3.01893	49.03521	Lizy-sur-Ourcq	3621	72	35
11	77	1102	77258	77185	2.63346	48.83328	Lognes	14410	200	38
11	77	56	77259	77230	2.65542	49.05097	Longperrier	2464	44	5
11	77	1108	77260	77650	3.23853	48.51449	Longueville	1760	33	15
11	77	1107	77261	77710	2.89649	48.23973	Lorrez-le-Bocage-Préaux	1252	15	8
11	77	1108	77262	77560	3.48915	48.61456	Louan-Villegruis-Fontaine	520	1	8
11	77	1108	77263	77520	3.18563	48.46107	Luisetaines	238	6	0
11	77	1117	77264	77540	2.95371	48.71958	Lumigny-Nesles-Ormeaux	1519	13	2
11	77	1104	77265	77138	3.1808	48.97763	Luzancy	1073	16	5
11	77	1105	77266	77133	2.84112	48.446	Machault	739	11	1
11	77	1107	77267	77570	2.70185	48.20511	La Madeleine-sur-Loing	332	7	5
11	77	1102	77268	77700	2.81442	48.86683	Magny-le-Hongre	6580	113	7
11	77	1105	77269	77950	2.70615	48.55402	Maincy	1691	19	12
11	77	1102	77270	77580	2.99381	48.85894	Maisoncelles-en-Brie	855	12	19
11	77	1107	77271	77570	2.62123	48.18279	Maisoncelles-en-Gâtinais	134	1	2
11	77	1105	77272	77370	3.15135	48.55494	Maison-Rouge	893	9	5
11	77	56	77273	77230	2.75169	49.05286	Marchémoret	548	4	3
11	77	1104	77274	77139	2.88048	49.03704	Marcilly	446	4	4
11	77	1108	77275	77560	3.3166	48.67251	Les Marêts	154	2	1
11	77	1104	77276	77100	2.86976	48.92362	Mareuil-lès-Meaux	2241	35	21
11	77	1117	77277	77610	2.88848	48.72494	Marles-en-Brie	1443	14	5
11	77	1103	77278	77120	3.16145	48.77418	Marolles-en-Brie	395	7	3
11	77	1106	77279	77130	3.03202	48.38389	Marolles-sur-Seine	1609	17	6
11	77	1104	77280	77440	3.03314	49.01546	Mary-sur-Marne	1207	10	14
11	77	1103	77281	77120	3.03854	48.77002	Mauperthuis	493	6	3
11	77	56	77282	77990	2.57185	49.02889	Mauregard	317	9	1
11	77	1104	77283	77145	3.02519	49.06999	May-en-Multien	899	13	3
11	77	1104	77284	77100	2.90003	48.95706	Meaux	52225	1092	327
11	77	1105	77285	77350	2.62902	48.53946	Le Mée-sur-Seine	20693	363	121
11	77	1105	77286	77520	3.09691	48.51379	Meigneux	236	5	1
11	77	1103	77287	77320	3.4172	48.79813	Meilleray	511	7	2
11	77	1105	77288	77000	2.65796	48.54447	Melun	39497	846	266
11	77	1108	77289	77171	3.39694	48.50409	Melz-sur-Seine	371	4	1
11	77	1104	77290	77730	3.20315	48.9758	Méry-sur-Marne	627	10	2
11	77	56	77291	77990	2.59607	49.01614	Le Mesnil-Amelot	851	18	6
11	77	56	77292	77410	2.70116	48.96712	Messy	1097	20	3
11	77	1106	77293	77130	3.09524	48.36561	Misy-sur-Yonne	983	19	6
11	77	56	77294	77290	2.61244	48.97795	Mitry-Mory	18828	305	132
11	77	1105	77295	77950	2.74111	48.56456	Moisenay	1238	13	12
11	77	1105	77296	77550	2.59602	48.62859	Moissy-Cramayel	17243	360	43
11	77	1107	77297	77570	2.59764	48.15105	Mondreville	363	3	0
11	77	1105	77298	77520	3.13957	48.49123	Mons-en-Montois	482	4	2
11	77	1105	77299	77250	2.85827	48.3514	Montarlot	225	2	2
11	77	1104	77300	77470	2.99444	48.94341	Montceaux-lès-Meaux	607	8	0
11	77	1108	77301	77151	3.44446	48.69655	Montceaux-lès-Provins	333	2	5
11	77	1107	77302	77140	2.71238	48.29918	Montcourt-Fromonville	2073	18	10
11	77	1103	77303	77320	3.41949	48.85261	Montdauphin	234	0	0
11	77	1103	77304	77320	3.47842	48.83529	Montenils	34	0	0
11	77	1106	77305	77130	2.96155	48.38988	Montereau-Fault-Yonne	16573	319	173
11	77	1105	77306	77950	2.67244	48.59631	Montereau-sur-le-Jard	556	5	3
11	77	1102	77307	77144	2.7496	48.86829	Montévrain	8950	198	17
11	77	56	77308	77230	2.74391	49.02939	Montgé-en-Goële	693	6	1
11	77	1104	77309	77122	2.83292	49.01011	Monthyon	1644	24	15
11	77	1108	77310	77480	3.24951	48.38124	Montigny-le-Guesdier	298	2	1
11	77	1105	77311	77520	3.05282	48.45435	Montigny-Lencoup	1283	19	8
11	77	1105	77312	77690	2.75095	48.34133	Montigny-sur-Loing	2791	17	30
11	77	1106	77313	77940	2.99238	48.31996	Montmachoux	233	3	0
11	77	1103	77314	77320	3.43159	48.82796	Montolivet	243	6	0
11	77	1102	77315	77450	2.8232	48.88593	Montry	3343	44	20
11	77	1105	77316	77250	2.81173	48.36509	Moret-sur-Loing	4318	37	61
11	77	1105	77317	77720	2.88205	48.59777	Mormant	4433	71	30
11	77	1102	77318	77163	2.90547	48.78289	Mortcerf	1455	15	14
11	77	1108	77319	77160	3.24833	48.5915	Mortery	171	1	1
11	77	1103	77320	77120	3.05089	48.82709	Mouroux	4997	88	30
11	77	1108	77321	77480	3.22954	48.39594	Mousseaux-lès-Bray	707	3	3
11	77	56	77322	77230	2.60754	49.07026	Moussy-le-Neuf	2935	38	9
11	77	56	77323	77230	2.62362	49.04788	Moussy-le-Vieux	987	10	2
11	77	1108	77325	77480	3.24604	48.43215	Mouy-sur-Seine	360	1	7
11	77	1105	77326	77176	2.54783	48.58213	Nandy	5851	80	17
11	77	1105	77327	77370	3.00884	48.55464	Nangis	8165	143	57
11	77	1105	77328	77760	2.42677	48.32013	Nanteau-sur-Essonne	434	4	3
11	77	1107	77329	77710	2.81304	48.25429	Nanteau-sur-Lunain	679	4	4
11	77	1104	77330	77100	2.89914	48.92859	Nanteuil-lès-Meaux	5454	65	27
11	77	1104	77331	77730	3.22233	48.98051	Nanteuil-sur-Marne	478	7	1
11	77	56	77332	77230	2.7017	49.00098	Nantouillet	267	2	4
11	77	1107	77333	77140	2.71108	48.25961	Nemours	12822	201	125
11	77	1104	77335	77124	2.83159	48.97193	Chauconin-Neufmontiers	2754	20	8
11	77	1117	77336	77610	2.82602	48.77424	Neufmoutiers-en-Brie	972	10	2
11	77	1102	77337	77186	2.61997	48.84609	Noisiel	15786	277	83
11	77	1106	77338	77940	2.93409	48.33648	Noisy-Rudignon	599	10	2
11	77	1105	77339	77123	2.50875	48.37769	Noisy-sur-École	2020	18	15
11	77	1107	77340	77140	2.77393	48.28867	Nonville	613	6	7
11	77	1108	77341	77114	3.34227	48.45187	Noyen-sur-Seine	370	6	5
11	77	1107	77342	77890	2.56865	48.21656	Obsonville	100	1	0
11	77	1104	77343	77440	3.06016	49.03358	Ocquerre	426	6	2
11	77	56	77344	77178	2.81767	49.07054	Oissery	2124	20	3
