INSEE,Commune,DEP,REG,82_14_a,82_14_b,82_14_c,82_14_d,82_14_e,82_14_f,82_14_g
01232,Marboz,01,82,0,0,0,2,0,0,0
01234,Marignieu,01,82,1,0,0,0,0,0,0
01235,Marlieux,01,82,1,0,0,0,0,0,0
01236,Marsonnas,01,82,0,0,0,1,0,0,0
01237,Martignat,01,82,2,0,0,0,0,0,0
01238,Massieux,01,82,5,0,0,2,0,0,0
01239,Massignieu-de-Rives,01,82,1,0,0,0,0,0,0
01242,Mérignat,01,82,2,0,0,0,0,0,0
01243,Messimy-sur-Saône,01,82,6,0,0,1,0,0,0
01244,Meximieux,01,82,4,0,0,0,0,0,0
01245,Bohas-Meyriat-Rignat,01,82,1,0,0,1,0,0,0
01246,Mézériat,01,82,3,0,0,2,0,0,0
01247,Mijoux,01,82,1,0,0,0,0,0,0
01248,Mionnay,01,82,1,0,0,0,0,0,0
01249,Miribel,01,82,7,0,0,0,0,0,0
01250,Misérieux,01,82,2,0,0,0,0,0,0
01252,Mogneneins,01,82,1,0,0,0,0,0,0
01254,Montagnat,01,82,2,0,0,0,0,0,0
01255,Montagnieu,01,82,3,0,0,0,0,0,0
01257,Montanges,01,82,1,0,0,0,0,0,0
01258,Montceaux,01,82,1,0,0,0,0,0,0
01259,Montcet,01,82,1,0,0,0,0,0,0
01262,Montluel,01,82,3,0,0,0,0,0,0
01263,Montmerle-sur-Saône,01,82,3,0,0,0,0,0,0
01265,Montréal-la-Cluse,01,82,3,0,0,1,0,0,0
01267,Nurieux-Volognat,01,82,2,0,0,0,0,0,0
01268,Murs-et-Gélignieux,01,82,1,0,0,0,0,0,0
01269,Nantua,01,82,3,0,0,0,0,0,0
01271,Nattages,01,82,3,0,0,0,0,0,0
01272,Neuville-les-Dames,01,82,1,0,0,0,0,0,0
01273,Neuville-sur-Ain,01,82,1,0,0,0,0,0,0
01274,Neyrolles,01,82,1,0,0,0,0,0,0
01275,Neyron,01,82,3,0,0,0,0,0,0
01276,Niévroz,01,82,2,0,0,0,0,0,0
01279,Oncieu,01,82,1,0,0,0,0,0,0
01280,Ordonnaz,01,82,1,0,0,0,0,0,0
01282,Outriaz,01,82,1,0,0,0,0,0,0
01283,Oyonnax,01,82,3,0,0,0,0,0,0
01284,Ozan,01,82,2,0,0,0,0,0,0
01285,Parcieux,01,82,7,0,0,0,0,0,0
01286,Parves,01,82,1,0,0,0,0,0,0
01288,Péron,01,82,2,0,0,0,0,0,0
01289,Péronnas,01,82,2,0,0,0,0,0,0
01290,Pérouges,01,82,2,0,0,0,0,0,0
01291,Perrex,01,82,1,0,0,1,0,0,0
01292,Petit-Abergement,01,82,1,0,0,0,0,0,0
01294,Peyrieu,01,82,2,0,0,0,0,0,0
01295,Peyzieux-sur-Saône,01,82,2,0,0,0,0,0,0
01298,Plagne,01,82,1,0,0,0,0,0,0
01300,Poizat,01,82,2,0,0,0,0,0,0
01301,Polliat,01,82,1,0,0,0,0,0,0
01303,Poncin,01,82,3,0,0,0,0,0,0
01304,Pont-d'Ain,01,82,2,0,0,0,0,0,0
01305,Pont-de-Vaux,01,82,8,0,0,0,0,0,0
01306,Pont-de-Veyle,01,82,2,0,0,0,0,0,0
01307,Port,01,82,2,0,0,0,0,0,0
01308,Pougny,01,82,0,0,0,1,0,0,0
01310,Prémeyzel,01,82,1,0,0,0,0,0,0
01311,Prémillieu,01,82,1,0,0,0,0,0,0
01312,Pressiat,01,82,1,0,0,0,0,0,0
01313,Prévessin-Moëns,01,82,2,0,0,0,0,0,0
01314,Priay,01,82,3,0,0,0,0,0,0
01316,Pugieu,01,82,2,0,0,0,0,0,0
01318,Rancé,01,82,1,0,0,0,0,0,0
01319,Relevant,01,82,1,0,0,0,0,0,0
01320,Replonges,01,82,5,0,0,2,0,0,0
01322,Reyrieux,01,82,5,0,0,0,0,0,0
01323,Reyssouze,01,82,2,0,0,0,0,0,0
01329,Rossillon,01,82,1,0,0,0,0,0,0
01330,Ruffieu,01,82,1,0,0,0,0,0,0
01331,Saint-Alban,01,82,1,0,0,0,0,0,0
01333,Saint-André-de-Corcy,01,82,1,0,0,0,0,0,0
01336,Saint-André-sur-Vieux-Jonc,01,82,2,0,0,0,0,0,0
01337,Saint-Bénigne,01,82,5,0,0,0,0,0,0
01338,Saint-Benoît,01,82,2,0,0,0,0,0,0
01339,Saint-Bernard,01,82,4,0,0,3,0,0,0
01340,Saint-Bois,01,82,1,0,0,0,0,0,0
01343,Saint-Cyr-sur-Menthon,01,82,1,0,0,0,0,0,0
01344,Saint-Denis-lès-Bourg,01,82,2,0,0,0,0,0,0
01345,Saint-Denis-en-Bugey,01,82,2,0,0,0,0,0,0
01347,Saint-Didier-de-Formans,01,82,3,0,0,0,0,0,0
01348,Saint-Didier-sur-Chalaronne,01,82,7,0,0,0,0,0,0
01350,Saint-étienne-du-Bois,01,82,2,0,0,3,0,0,0
01351,Saint-étienne-sur-Chalaronne,01,82,2,0,0,0,0,0,0
01352,Saint-étienne-sur-Reyssouze,01,82,1,0,0,0,0,0,0
01353,Sainte-Euphémie,01,82,3,0,0,0,0,0,0
01354,Saint-Genis-Pouilly,01,82,2,0,0,0,0,0,0
01355,Saint-Genis-sur-Menthon,01,82,0,0,0,1,0,0,0
01357,Saint-Germain-de-Joux,01,82,1,0,0,0,0,0,0
01358,Saint-Germain-les-Paroisses,01,82,2,0,0,0,0,0,0
01360,Saint-Jean-de-Gonville,01,82,1,0,0,0,0,0,0
01361,Saint-Jean-de-Niost,01,82,1,0,0,0,0,0,0
01363,Saint-Jean-le-Vieux,01,82,4,0,0,1,0,0,0
01364,Saint-Jean-sur-Reyssouze,01,82,1,0,0,2,0,0,0
01365,Saint-Jean-sur-Veyle,01,82,1,0,0,0,0,0,0
01366,Sainte-Julie,01,82,1,0,0,0,0,0,0
01367,Saint-Julien-sur-Reyssouze,01,82,1,0,0,0,0,0,0
01370,Saint-Laurent-sur-Saône,01,82,4,0,0,0,0,0,0
01372,Saint-Martin-de-Bavel,01,82,1,0,0,0,0,0,0
01373,Saint-Martin-du-Frêne,01,82,2,0,0,0,0,0,0
01376,Saint-Maurice-de-Beynost,01,82,6,0,0,0,0,0,0
01378,Saint-Maurice-de-Gourdans,01,82,2,0,0,0,0,0,0
01379,Saint-Maurice-de-Rémens,01,82,3,0,0,0,0,0,0
01380,Saint-Nizier-le-Bouchoux,01,82,2,0,0,0,0,0,0
01382,Sainte-Olive,01,82,1,0,0,0,0,0,0
01384,Saint-Rambert-en-Bugey,01,82,2,1,0,0,0,0,0
01385,Saint-Rémy,01,82,1,0,0,1,0,0,0
01386,Saint-Sorlin-en-Bugey,01,82,3,0,0,0,1,0,0
01388,Saint-Trivier-de-Courtes,01,82,0,0,0,1,0,0,0
01389,Saint-Trivier-sur-Moignans,01,82,3,0,0,0,0,0,0
01390,Saint-Vulbas,01,82,2,0,0,0,0,0,0
01396,Sault-Brénaz,01,82,3,0,0,0,0,0,0
01398,Savigneux,01,82,3,0,0,0,0,0,0
01399,Ségny,01,82,3,0,0,0,0,0,0
01400,Seillonnaz,01,82,1,0,0,0,0,0,0
01401,Sergy,01,82,1,0,0,0,0,0,0
01402,Sermoyer,01,82,4,0,0,0,0,0,0
01403,Serrières-de-Briord,01,82,1,0,0,0,0,0,0
01407,Seyssel,01,82,2,0,0,0,0,0,0
01411,Souclin,01,82,2,0,0,0,0,0,0
01412,Sulignat,01,82,1,0,0,0,0,0,0
01414,Sutrieu,01,82,2,0,0,0,0,0,0
01415,Talissieu,01,82,1,0,0,0,0,0,0
01416,Tenay,01,82,2,2,0,0,0,0,0
01417,Thézillieu,01,82,1,0,0,0,0,0,0
01418,Thil,01,82,4,0,0,0,0,0,0
01419,Thoiry,01,82,1,0,0,0,0,0,0
01420,Thoissey,01,82,3,0,0,0,0,0,0
01421,Torcieu,01,82,2,0,0,0,0,0,0
01422,Tossiat,01,82,1,0,0,0,0,0,0
01423,Toussieux,01,82,1,0,0,0,0,0,0
01424,Tramoyes,01,82,1,0,0,0,0,0,0
01425,Tranclière,01,82,1,0,0,0,0,0,0
01426,Treffort-Cuisiat,01,82,1,0,0,1,0,0,0
01427,Trévoux,01,82,5,1,0,0,0,0,0
01428,Valeins,01,82,1,0,0,0,0,0,0
